setor,lpa,lucro_liquido,divida_bruta_ativo,liquidez_corrente,liquidez_geral,rentabilidade_ativo,roe,margem_ebit,caixa_operacional,caixa_investimento,pandemia,variacao_valor_mercado
10,0.7823186871780418,0.0928154701127518,0.016541871612519188,0.032679738562091505,0.03125,0.9891850215964954,0.02461085617686778,0.4500113869278068,0.05447191208740178,0.8059930922746724,0,0.1548
10,0.7823376432038469,0.09281746810408592,0.017168457658447944,0.07189542483660132,0.04166666666666667,0.9892149973649207,0.02597125526202128,0.45072306991573663,0.05447231038647556,0.8059819045392698,0,-0.9996
9,0.7823370776096994,0.09281733764909018,0.018233653936526834,0.19934640522875818,0.09375,0.9892129060322399,0.02527679531225121,0.4518238062704015,0.05446786447440694,0.8059861258403401,1,0.7478
9,0.7823411695454071,0.09281777372581472,0.01798301951815533,0.10784313725490197,0.052083333333333336,0.9892282424718993,0.026523025520335284,0.45187125180293014,0.05446749049752774,0.8235332288622689,1,-0.5519
9,0.7823419058524225,0.09281784449290513,0.01679250603089069,0.052287581699346414,0.04166666666666667,0.9892289395827929,0.026580105202229837,0.451842784483413,0.05447052422299742,0.8059823670494992,0,0.4466
9,0.782342235207551,0.09281787779789887,0.016761176728594254,0.06862745098039216,0.04166666666666667,0.9892268482501121,0.02527679531225121,0.4514821984361952,0.054470199408788535,0.805988536061619,0,-0.7033
2,0.7823544110010751,0.10057248750479873,0.010996585106049688,0.032679738562091505,0.052083333333333336,0.9892491557987076,0.03261152492242086,0.449261747513854,0.06658302941418484,0.7694989579068131,1,0.003
2,0.7823493672118019,0.09869384307912403,0.009712083711895737,0.029411764705882356,0.04166666666666667,0.9892212713629632,0.02875864639453858,0.4491668564487967,0.073513188965449,0.7637739667454644,1,0.5051
2,0.782342819769795,0.09282047804891659,0.011027914408346128,0.029411764705882356,0.04166666666666667,0.9892115118104526,0.026865503611702597,0.4491383891292795,0.07654513376912708,0.7719604813438911,0,-0.3037
2,0.7823435612499274,0.09282076225409894,0.011372536733606942,0.032679738562091505,0.04166666666666667,0.9892122089213462,0.02676085752822925,0.4491668564487967,0.07272836320430158,0.787386770757253,0,-0.5849
5,0.7823529418357894,0.09281821586237178,0.008364923713148908,0.06209150326797386,0.10416666666666667,0.9892512471313886,0.026732317687281976,0.4511500797084946,0.05447269789419513,0.8059827262537113,1,-0.2429
